Speaker_name,Count,Speaker_age_at_recording,Speaker_gender,Speaker_age_group,path
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_6079.56-6099.24.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg._Ay-MZKSeIc_14392.36-14412.22.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.eWxcWiMNqe4_6122.29-6141.71.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.btzBgb-_Skc_2132.68-2144.81.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.a8PclGIE0bU_10155.12-10165.82.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.MLWXje95pCk_6214.21-6231.83.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_5505.65-5518.46.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.IUiQxKZeT6M_12813.24-12833.06.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.eWxcWiMNqe4_5573.04-5590.13.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_6012.96-6032.23.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_1727.64-1746.6.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_5763.92-5782.35.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.pppYdJRPHHk_12385.19-12405.09.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.oBv0UsBoXjA_2962.4-2982.16.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.btzBgb-_Skc_2112.84-2132.68.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.eWxcWiMNqe4_5457.47-5475.58.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Jnoeay6g96I_9506.19-9514.78.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.a8PclGIE0bU_10445.34-10465.05.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.btzBgb-_Skc_2052.87-2072.63.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.Ux6VUyVcHqU_5833.52-5849.84.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.pppYdJRPHHk_12190.11-12206.75.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.IF1blZ6YSMA_18099.28-18118.72.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.MTezksB47JU_380.14-400.13.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.pppYdJRPHHk_12098.57-12109.44.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.b0c3WIgmQJ4_3668.38-3687.91.wav
"Varga, Siniša",682,53.0,M,old,data_age/seg.eWxcWiMNqe4_6425.64-6445.51.wav
